entry	end	size	name	prototype
00200008	002000ab	164	ENTRYPOINT	undefined ENTRYPOINT()
002000b0	002000b7	8	_exit	void _exit(int __status)
002000b8	002000bf	8	_root	undefined _root()
002000c0	0020013b	124	bossCheckParm	undefined bossCheckParm()
00200140	0020017f	64	bossIsNextParm	undefined bossIsNextParm()
00200180	002001c3	68	bossGetNextParm	undefined bossGetNextParm()
002001c8	0020025f	152	bossMakeAll	undefined bossMakeAll()
00200260	002002ff	160	sjeGsSetDefDBuff	undefined sjeGsSetDefDBuff()
00200300	0020032b	44	sjeGsSetHalfOffset	undefined sjeGsSetHalfOffset()
00200330	0020033f	16	sjeGsSwapDBuff	undefined sjeGsSwapDBuff()
00200340	00200607	712	bossMake	undefined bossMake()
00200608	00200627	32	bossDmaFromSpr	undefined bossDmaFromSpr()
00200628	0020062f	8	bossTurtleCpu	undefined bossTurtleCpu()
00200630	00200637	8	bossTurtleGs	undefined bossTurtleGs()
00200638	00200c3b	1540	bossMainLoop	undefined bossMainLoop()
00200c40	00200c47	8	bossScreenDump	undefined bossScreenDump()
00200c48	00200f0b	708	cpuMain	undefined cpuMain()
00200f10	00200f1b	12	lockupalarm	undefined lockupalarm()
00200f20	00201193	628	gsMain	undefined gsMain()
00201198	0020132b	404	vblIntHandler	undefined vblIntHandler()
00201330	00201367	56	gsIntHandler	undefined gsIntHandler()
00201368	002013af	72	checkstring	undefined checkstring()
002013b0	0020187f	1232	main	undefined main()
00201880	00201a5b	476	clearvram	undefined clearvram()
00201a60	00201abb	92	memMark	undefined memMark()
00201ac0	00201b33	116	memCheck	undefined memCheck()
00201b38	00201ba3	108	memMake	undefined memMake()
00201ba8	00201baf	8	memRestart	undefined memRestart()
00201bb0	00201c0f	96	memReset	undefined memReset()
00201c10	00201c33	36	memEnd	undefined memEnd()
00201c38	00201d33	252	memAlloc	undefined memAlloc()
00201d38	00201dcf	152	memAllocAlign64	undefined memAllocAlign64()
00201dd0	00201e4b	124	memFree	undefined memFree()
00201e50	00201e6f	32	memLocalFree	undefined memLocalFree()
00201e70	00201e7f	16	memGetFreeLevel	undefined memGetFreeLevel()
00201e80	00201e8f	16	memGetFreeEter	undefined memGetFreeEter()
00201e90	00201e97	8	memPrintFree	undefined memPrintFree()
00201e98	00201ef3	92	memdbRestart	undefined memdbRestart()
00201ef8	00201f4b	84	memdbReset	undefined memdbReset()
00201f50	00201f73	36	memdbTick	undefined memdbTick()
00201f78	00201f93	28	memdbAlloc	undefined memdbAlloc()
00201f98	00201fa3	12	memdbPrintFree	undefined memdbPrintFree()
00201fa8	0020200b	100	textPreload	undefined textPreload()
00202010	002020ab	156	textRestart	undefined textRestart()
002020b0	00202263	436	textReset	undefined textReset()
00202268	0020226f	8	textEnd	undefined textEnd()
00202270	002022a3	52	textSelect	undefined textSelect()
002022a8	002023af	264	GetXOffset	undefined GetXOffset()
002023b0	002024ef	320	textOutline	undefined textOutline()
002024f0	00202a33	1348	textPrint	undefined textPrint()
00202a38	00202a5f	40	textWidth	undefined textWidth()
00202a60	00202a87	40	textHeight	undefined textHeight()
00202a88	00202d57	720	textSize	undefined textSize()
00202d58	00202d8f	56	replayReset	undefined replayReset()
00202d90	00202feb	604	replayTick	undefined replayTick()
00202ff0	0020302f	64	joyNum	undefined joyNum()
00203030	00203087	88	joyUpdatePorts	undefined joyUpdatePorts()
00203088	00203137	176	joyFixVal	undefined joyFixVal()
00203138	002031a3	108	controllerOpen	undefined controllerOpen()
002031a8	002035a7	1024	controllerTick	undefined controllerTick()
002035a8	0020360b	100	joyMtapTick	undefined joyMtapTick()
00203610	00203623	20	joyMtapGetSlots	undefined joyMtapGetSlots()
00203628	0020365f	56	set_cheat	undefined set_cheat()
00203660	00203683	36	cheat1	undefined cheat1()
00203688	0020368f	8	setcheat1	undefined setcheat1()
00203690	00203697	8	setcheat2	undefined setcheat2()
00203698	0020369f	8	setcheat3	undefined setcheat3()
002036a0	002036a7	8	setcheat4	undefined setcheat4()
002036a8	002036af	8	setcheat5	undefined setcheat5()
002036b0	002037f7	328	cheatTick	undefined cheatTick()
002037f8	0020385b	100	joyTick	undefined joyTick()
00203860	002038e7	136	joyBut	undefined joyBut()
002038e8	00203963	124	joyNewBut	undefined joyNewBut()
00203968	002039e3	124	joyReleaseBut	undefined joyReleaseBut()
002039e8	00203a87	160	joyClearButs	undefined joyClearButs()
00203a88	00203b2f	168	joyClearAll	undefined joyClearAll()
00203b30	00203bb7	136	joySetCentreZone	undefined joySetCentreZone()
00203bb8	00203cbf	264	joyGetAxis	undefined joyGetAxis()
00203cc0	00203d6f	176	joySetShock	undefined joySetShock()
00203d70	00203deb	124	joyGetShockLeft	undefined joyGetShockLeft()
00203df0	00203e6b	124	joyGetShockRight	undefined joyGetShockRight()
00203e70	00203e9f	48	joyNewButLOCAL	undefined joyNewButLOCAL()
00203ea0	00203edb	60	joyButLOCAL	undefined joyButLOCAL()
00203ee0	00203f9f	192	joyGetAxisLOCAL	undefined joyGetAxisLOCAL()
00203fa0	0020405b	188	joyMake	undefined joyMake()
00204060	00204087	40	BuffAddu8	undefined BuffAddu8()
00204088	002040b7	48	BuffAddu16	undefined BuffAddu16()
002040b8	002040e7	48	BuffAddu32	undefined BuffAddu32()
002040e8	00204117	48	BuffAddfloat	undefined BuffAddfloat()
00204118	0020413b	36	BuffRemoveu8	undefined BuffRemoveu8()
00204140	0020416b	44	BuffRemoveu16	undefined BuffRemoveu16()
00204170	0020419b	44	BuffRemoveu32	undefined BuffRemoveu32()
002041a0	002041cb	44	BuffRemovefloat	undefined BuffRemovefloat()
002041d0	002042af	224	PutControllerInBuff	undefined PutControllerInBuff()
002042b0	0020438f	224	GetControllerFromBuff	undefined GetControllerFromBuff()
00204390	002043e3	84	GetControllerNumber	undefined GetControllerNumber()
002043e8	0020445b	116	soundMake	undefined soundMake()
00204460	00204477	24	soundSelectBuffer	undefined soundSelectBuffer()
00204478	0020449b	36	soundResetBuffer	undefined soundResetBuffer()
002044a0	002044bf	32	soundCreateBuffer	undefined soundCreateBuffer()
002044c0	0020464f	400	soundRestart	undefined soundRestart()
00204650	00204743	244	soundReset	undefined soundReset()
00204748	0020474f	8	soundRestartAfter	undefined soundRestartAfter()
00204750	002047c7	120	soundResetAfter	undefined soundResetAfter()
002047c8	002048b3	236	soundPreload	undefined soundPreload()
002048b8	002048f7	64	soundEnd	undefined soundEnd()
002048f8	00204903	12	soundSetChannel	undefined soundSetChannel()
00204908	0020494f	72	soundBatchAdd	undefined soundBatchAdd()
00204950	002049b3	100	soundBatchExec	undefined soundBatchExec()
002049b8	002049bf	8	soundBatchReset	undefined soundBatchReset()
002049c0	00204c73	692	soundCalcVol	undefined soundCalcVol()
00204c78	00204ebb	580	announceTick	undefined announceTick()
00204ec0	002052b3	1012	soundTick	undefined soundTick()
002052b8	0020549b	484	soundLoad	undefined soundLoad()
002054a0	002054bb	28	soundStop	undefined soundStop()
002054c0	00205513	84	soundDelayStop	undefined soundDelayStop()
00205518	0020553b	36	soundStart	undefined soundStart()
00205540	00205593	84	getNextChannel	undefined getNextChannel()
00205598	00205807	624	soundStartRange	undefined soundStartRange()
00205808	002058c3	188	soundDelayStartEx	undefined soundDelayStartEx()
002058c8	002058eb	36	soundStartLoop	undefined soundStartLoop()
