address	type	source	name
00000000	Label	IMPORTED	PMTXWORK
00000000	Label	IMPORTED	MTX1POS
00000000	Label	IMPORTED	XYZWINOFF
00000000	Label	IMPORTED	F_XYZWINOFF
00000000	Label	IMPORTED	L_XYZWINOFF
00000000	Label	IMPORTED	LF_XYZWINOFF
00000000	Label	IMPORTED	UCODE_NORMAL
00000000	Label	IMPORTED	ENTRY_NORMAL
00000001	Label	IMPORTED	UCODE_FILLET
00000002	Label	IMPORTED	UCODE_REFLECT
00000003	Label	IMPORTED	UCODE_LIT
00000004	Label	IMPORTED	MMTX1WORK
00000004	Label	IMPORTED	MTX2POS
00000004	Label	IMPORTED	UCODE_LITFILLET
00000005	Label	IMPORTED	UCODE_LITNOCLIP
00000008	Label	IMPORTED	MPMTX1WORK
00000008	Label	IMPORTED	MTX3POS
0000000c	Label	IMPORTED	MPMTX2WORK
0000000c	Label	IMPORTED	MTX4POS
00000010	Label	IMPORTED	MPMTX3WORK
00000010	Label	IMPORTED	F_XYZWPOS
00000010	Label	IMPORTED	VPMULPOS
00000011	Label	IMPORTED	VPADDPOS
00000012	Label	IMPORTED	CLIPMULPOS
00000013	Label	IMPORTED	CLIPDIVPOS
00000014	Label	IMPORTED	VPMULWORK
00000014	Label	IMPORTED	FANTAGPOS
00000015	Label	IMPORTED	VPADDWORK
00000015	Label	IMPORTED	NOPTAGPOS
00000016	Label	IMPORTED	CLIPMULWORK
00000016	Label	IMPORTED	LCOLMTXPOS
00000017	Label	IMPORTED	CLIPDIVWORK
00000018	Label	IMPORTED	FANTAGWORK
00000018	Label	IMPORTED	XYZWPOS
00000018	Label	IMPORTED	L_XYZWPOS
00000019	Label	IMPORTED	NOPTAGWORK
0000001a	Label	IMPORTED	LDIR1MTXPOS
0000001d	Label	IMPORTED	CLIPOUTPOS
0000001e	Label	IMPORTED	LDIR2MTXPOS
00000020	Label	IMPORTED	LF_XYZWPOS
00000022	Label	IMPORTED	LDIR3MTXPOS
00000024	Label	IMPORTED	LF_RGBAINOFF
00000030	Label	IMPORTED	L_RGBAINOFF
00000032	Label	IMPORTED	F_RGBAINOFF
0000003a	Label	IMPORTED	CLIPBUF1POS
0000003a	Label	IMPORTED	CLIPBUF4POS
0000003a	Label	IMPORTED	CLIPBUF6POS
00000040	Label	IMPORTED	RGBAINOFF
00000042	Label	IMPORTED	F_RGBAPOS
00000044	Label	IMPORTED	LF_RGBAPOS
00000048	Label	IMPORTED	L_RGBAPOS
00000048	Label	IMPORTED	LF_STINOFF
00000052	Label	IMPORTED	CLIPBUF3POS
00000052	Label	IMPORTED	CLIPBUF5POS
00000052	Label	IMPORTED	CLIPBUF7POS
00000058	Label	IMPORTED	RGBAPOS
00000060	Label	IMPORTED	L_STINOFF
00000064	Label	IMPORTED	F_STINOFF
00000068	Label	IMPORTED	LF_STPOS
0000006a	Label	IMPORTED	LCOLMTXWORK
0000006c	Label	IMPORTED	LF_BINDINOFF
0000006e	Label	IMPORTED	LDIR1MTXWORK
00000072	Label	IMPORTED	LDIR2MTXWORK
00000074	Label	IMPORTED	F_STPOS
00000076	Label	IMPORTED	LDIR3MTXWORK
00000078	Label	IMPORTED	L_STPOS
00000080	Label	IMPORTED	STINOFF
00000088	Label	IMPORTED	STACKPOS4
00000089	Label	IMPORTED	STACKPOS3
0000008a	Label	IMPORTED	STACKPOS2
0000008b	Label	IMPORTED	STACKPOS1
0000008c	Label	IMPORTED	STACKENDPOS
0000008c	Label	IMPORTED	LF_BINDPOS
00000090	Label	IMPORTED	L_NORMINOFF
00000090	Label	IMPORTED	LF_NORMINOFF
00000096	Label	IMPORTED	F_BINDINOFF
00000098	Label	IMPORTED	STPOS
000000a6	Label	IMPORTED	F_BINDPOS
000000a8	Label	IMPORTED	L_NORMPOS
000000b0	Label	IMPORTED	LF_NORMPOS
000000d8	Label	IMPORTED	TEXLOADPOS
000000d8	Label	IMPORTED	F_TEXLOADPOS
000000d8	Label	IMPORTED	L_TEXLOADPOS
000000d8	Label	IMPORTED	LF_TEXLOADPOS
000000df	Label	IMPORTED	OUTPOS
000000df	Label	IMPORTED	F_OUTPOS
000000df	Label	IMPORTED	L_OUTPOS
000000df	Label	IMPORTED	LF_OUTPOS
000001a4	Label	IMPORTED	ENTRY_FILLET
000001a4	Label	IMPORTED	ENTRY_REFLECT
0000035c	Label	IMPORTED	ENTRY_LIT
00000500	Label	IMPORTED	ENTRY_LITFILLET
000006a4	Label	IMPORTED	ENTRY_LITNOCLIP
0000075f	Label	IMPORTED	ENTRY_LOADLCOL
0000076a	Label	IMPORTED	ENTRY_LOADLDIR1
00000775	Label	IMPORTED	ENTRY_LOADLDIR2
00000780	Label	IMPORTED	ENTRY_LOADLDIR3
0000078b	Label	IMPORTED	ENTRY_LOADVP
00000796	Label	IMPORTED	ENTRY_LOADTAGS
0000079d	Label	IMPORTED	ENTRY_LOADP
000007a8	Label	IMPORTED	ENTRY_LOADM
000007c4	Label	IMPORTED	ENTRY_LOADM2
000007e0	Label	IMPORTED	ENTRY_LOADM3
000007fc	Label	IMPORTED	ENTRY_PASS
00008000	Label	IMPORTED	_heap_size
00010000	Label	IMPORTED	_stack_size
00200000	Label	DEFAULT	DAT_00200000
00200008	Label	IMPORTED	_start
00200008	Function	IMPORTED	ENTRYPOINT
00200008	Label	IMPORTED	zerobss
00200018	Label	DEFAULT	LAB_00200018
002000b0	Function	IMPORTED	_exit
002000b8	Function	IMPORTED	_root
002000c0	Function	IMPORTED	bossCheckParm
002000e8	Label	DEFAULT	LAB_002000e8
00200110	Label	DEFAULT	LAB_00200110
00200120	Label	DEFAULT	LAB_00200120
00200128	Label	DEFAULT	LAB_00200128
00200140	Function	IMPORTED	bossIsNextParm
00200178	Label	DEFAULT	LAB_00200178
00200180	Function	IMPORTED	bossGetNextParm
002001b4	Label	DEFAULT	LAB_002001b4
002001b8	Label	DEFAULT	LAB_002001b8
002001c8	Function	IMPORTED	bossMakeAll
00200260	Function	IMPORTED	sjeGsSetDefDBuff
00200300	Function	IMPORTED	sjeGsSetHalfOffset
00200310	Label	DEFAULT	LAB_00200310
00200318	Label	DEFAULT	LAB_00200318
00200330	Function	IMPORTED	sjeGsSwapDBuff
00200340	Function	IMPORTED	bossMake
002003a8	Label	DEFAULT	LAB_002003a8
002003b8	Label	DEFAULT	LAB_002003b8
002003f8	Label	DEFAULT	LAB_002003f8
00200410	Label	DEFAULT	LAB_00200410
00200428	Label	DEFAULT	LAB_00200428
00200440	Label	DEFAULT	LAB_00200440
00200458	Label	DEFAULT	LAB_00200458
00200470	Label	DEFAULT	LAB_00200470
00200488	Label	DEFAULT	LAB_00200488
002004a0	Label	DEFAULT	LAB_002004a0
002005a0	Label	DEFAULT	LAB_002005a0
002005c0	Label	DEFAULT	LAB_002005c0
00200608	Function	IMPORTED	bossDmaFromSpr
00200628	Function	IMPORTED	bossTurtleCpu
00200630	Function	IMPORTED	bossTurtleGs
00200638	Function	IMPORTED	bossMainLoop
00200698	Label	DEFAULT	LAB_00200698
002006e8	Label	DEFAULT	LAB_002006e8
0020072c	Label	DEFAULT	LAB_0020072c
00200740	Label	DEFAULT	LAB_00200740
00200744	Label	DEFAULT	LAB_00200744
0020075c	Label	DEFAULT	LAB_0020075c
002008b8	Label	DEFAULT	LAB_002008b8
00200a18	Label	DEFAULT	LAB_00200a18
00200a2c	Label	DEFAULT	LAB_00200a2c
00200ae4	Label	DEFAULT	LAB_00200ae4
00200b8c	Label	DEFAULT	LAB_00200b8c
00200be0	Label	DEFAULT	LAB_00200be0
00200c40	Function	IMPORTED	bossScreenDump
00200c48	Function	IMPORTED	cpuMain
00200c90	Label	DEFAULT	LAB_00200c90
00200cd8	Label	DEFAULT	LAB_00200cd8
00200d14	Label	DEFAULT	LAB_00200d14
00200d5c	Label	DEFAULT	LAB_00200d5c
00200d90	Label	DEFAULT	LAB_00200d90
00200d9c	Label	DEFAULT	LAB_00200d9c
00200da0	Label	DEFAULT	LAB_00200da0
00200db8	Label	DEFAULT	LAB_00200db8
00200e38	Label	DEFAULT	LAB_00200e38
00200e5c	Label	DEFAULT	LAB_00200e5c
00200e88	Label	DEFAULT	LAB_00200e88
00200e90	Label	DEFAULT	LAB_00200e90
00200ea0	Label	DEFAULT	LAB_00200ea0
00200eec	Label	DEFAULT	LAB_00200eec
00200f10	Function	IMPORTED	lockupalarm
00200f20	Function	IMPORTED	gsMain
00200f50	Label	DEFAULT	LAB_00200f50
00200f54	Label	DEFAULT	LAB_00200f54
00201018	Label	DEFAULT	LAB_00201018
00201090	Label	DEFAULT	LAB_00201090
002010ec	Label	DEFAULT	LAB_002010ec
00201110	Label	DEFAULT	LAB_00201110
00201130	Label	DEFAULT	LAB_00201130
00201198	Function	IMPORTED	vblIntHandler
002011ec	Label	DEFAULT	LAB_002011ec
00201200	Label	DEFAULT	LAB_00201200
00201204	Label	DEFAULT	LAB_00201204
00201260	Label	DEFAULT	LAB_00201260
002012a0	Label	DEFAULT	LAB_002012a0
002012c8	Label	DEFAULT	LAB_002012c8
002012e4	Label	DEFAULT	LAB_002012e4
00201304	Label	DEFAULT	LAB_00201304
00201308	Label	DEFAULT	LAB_00201308
0020130c	Label	DEFAULT	LAB_0020130c
00201330	Function	IMPORTED	gsIntHandler
00201368	Function	IMPORTED	checkstring
00201388	Label	DEFAULT	LAB_00201388
002013a4	Label	DEFAULT	LAB_002013a4
002013a8	Label	DEFAULT	LAB_002013a8
002013b0	Function	IMPORTED	main
00201438	Label	DEFAULT	LAB_00201438
00201490	Label	DEFAULT	LAB_00201490
00201514	Label	DEFAULT	LAB_00201514
00201540	Label	DEFAULT	LAB_00201540
00201558	Label	DEFAULT	LAB_00201558
0020158c	Label	DEFAULT	LAB_0020158c
00201590	Label	DEFAULT	LAB_00201590
002015c8	Label	DEFAULT	LAB_002015c8
00201610	Label	DEFAULT	LAB_00201610
00201640	Label	DEFAULT	LAB_00201640
00201654	Label	DEFAULT	LAB_00201654
0020165c	Label	DEFAULT	LAB_0020165c
00201660	Label	DEFAULT	LAB_00201660
00201668	Label	DEFAULT	LAB_00201668
0020166c	Label	DEFAULT	LAB_0020166c
002016a0	Label	DEFAULT	LAB_002016a0
002016b8	Label	DEFAULT	LAB_002016b8
002016bc	Label	DEFAULT	LAB_002016bc
002016d4	Label	DEFAULT	LAB_002016d4
002016f8	Label	DEFAULT	LAB_002016f8
00201718	Label	DEFAULT	LAB_00201718
00201740	Label	DEFAULT	LAB_00201740
00201760	Label	DEFAULT	LAB_00201760
00201778	Label	DEFAULT	LAB_00201778
00201798	Label	DEFAULT	LAB_00201798
00201810	Label	DEFAULT	LAB_00201810
00201880	Function	IMPORTED	clearvram
00201a60	Function	IMPORTED	memMark
00201a88	Label	DEFAULT	LAB_00201a88
00201ab4	Label	DEFAULT	LAB_00201ab4
00201ac0	Function	IMPORTED	memCheck
00201b24	Label	DEFAULT	LAB_00201b24
00201b2c	Label	DEFAULT	LAB_00201b2c
00201b38	Function	IMPORTED	memMake
00201ba8	Function	IMPORTED	memRestart
00201bb0	Function	IMPORTED	memReset
00201c10	Function	IMPORTED	memEnd
00201c2c	Label	DEFAULT	LAB_00201c2c
00201c38	Function	IMPORTED	memAlloc
00201c68	Label	DEFAULT	LAB_00201c68
00201c78	Label	DEFAULT	LAB_00201c78
00201c94	Label	DEFAULT	LAB_00201c94
00201cd0	Label	DEFAULT	LAB_00201cd0
00201ce8	Label	DEFAULT	LAB_00201ce8
00201cfc	Label	DEFAULT	LAB_00201cfc
00201d14	Label	DEFAULT	LAB_00201d14
