path	length	kind	description
/types.h/__blkcnt_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/types.h/__blksize_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/types.h/__dev_t	8	TypedefDB	Unsigned Long Long Integer (compiler-specific size)
/__dmath	8	UnionDB	
FIELD	0	8	i	/__uint32_t[2]
FIELD	0	8	d	/double
/__fdlibm_version	4	EnumDB	
/types.h/__gid_t	4	TypedefDB	Unsigned Integer (compiler-specific size)
/__gnuc_va_list	4	TypedefDB	pointer to char
/__ieee_double_shape_type	16	UnionDB	
FIELD	0	8	value	/double
FIELD	0	8	number	/__ieee_double_shape_type__number
FIELD	0	8	nan	/__ieee_double_shape_type__nan
FIELD	0	16	parts	/__ieee_double_shape_type__parts
FIELD	0	16	aslong	/long int[2]
/__ieee_double_shape_type__nan	8	StructureDB	
FIELD	0	4	function1	/unsigned int
FIELD	4	3	function0	/unsigned int:19
FIELD	6	1	quiet	/unsigned int:1
FIELD	6	2	exponent	/unsigned int:11
FIELD	7	1	sign	/unsigned int:1
/__ieee_double_shape_type__number	8	StructureDB	
FIELD	0	4	fraction1	/unsigned int
FIELD	4	3	fraction0	/unsigned int:20
FIELD	6	2	exponent	/unsigned int:11
FIELD	7	1	sign	/unsigned int:1
/__ieee_double_shape_type__parts	16	StructureDB	
FIELD	0	8	lsw	/long unsigned int
FIELD	8	8	msw	/long unsigned int
/__ieee_float_shape_type	8	UnionDB	
FIELD	0	4	value	/float
FIELD	0	4	number	/__ieee_float_shape_type__number
FIELD	0	4	nan	/__ieee_float_shape_type__nan
FIELD	0	8	p1	/long int
/__ieee_float_shape_type__nan	4	StructureDB	
FIELD	0	2	function1	/unsigned int:16
FIELD	2	1	function0	/unsigned int:6
FIELD	2	1	quiet	/unsigned int:1
FIELD	2	2	exponent	/unsigned int:8
FIELD	3	1	sign	/unsigned int:1
/__ieee_float_shape_type__number	4	StructureDB	
FIELD	0	1	fraction0	/unsigned int:7
FIELD	0	3	fraction1	/unsigned int:16
FIELD	2	2	exponent	/unsigned int:8
FIELD	3	1	sign	/unsigned int:1
/types.h/__ino_t	8	TypedefDB	Unsigned Long Integer (compiler-specific size)
/__int32_t	4	TypedefDB	Signed Integer (compiler-specific size)
/__int32_t *	4	PointerDB	pointer to __int32_t
/__int32_t[0]	1	ArrayDB	Array of Signed Integer (compiler-specific size)
/__int32_t[20]	80	ArrayDB	Array of Signed Integer (compiler-specific size)
/types.h/__mode_t	4	TypedefDB	Unsigned Integer (compiler-specific size)
/types.h/__nlink_t	4	TypedefDB	Unsigned Integer (compiler-specific size)
/types.h/__off_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/types.h/__pid_t	4	TypedefDB	Signed Integer (compiler-specific size)
/__sbuf	8	StructureDB	
FIELD	0	4	_base	/unsigned char *
FIELD	4	4	_size	/int
/__sFILE	88	StructureDB	
FIELD	0	4	_p	/unsigned char *
FIELD	4	4	_r	/int
FIELD	8	4	_w	/int
FIELD	12	2	_flags	/short int
FIELD	14	2	_file	/short int
FIELD	16	8	_bf	/__sbuf
FIELD	24	4	_lbfsize	/int
FIELD	28	4	_cookie	/void *
FIELD	32	4	_read	/undefined1 *
FIELD	36	4	_write	/undefined1 *
FIELD	40	4	_seek	/undefined1 *
FIELD	44	4	_close	/undefined1 *
FIELD	48	8	_ub	/__sbuf
FIELD	56	4	_up	/unsigned char *
FIELD	60	4	_ur	/int
FIELD	64	3	_ubuf	/unsigned char[3]
FIELD	67	1	_nbuf	/unsigned char[1]
FIELD	68	8	_lb	/__sbuf
FIELD	76	4	_blksize	/int
FIELD	80	4	_offset	/int
FIELD	84	4	_data	/_reent *
/__sFILE *	4	PointerDB	pointer to __sFILE
/__sFILE[3]	264	ArrayDB	Array of 
/__siov	8	StructureDB	
FIELD	0	4	iov_base	/void *
FIELD	4	4	iov_len	/size_t
/__siov *	4	PointerDB	pointer to __siov
/__siov[8]	64	ArrayDB	Array of 
/types.h/__ssize_t	4	TypedefDB	Signed Integer (compiler-specific size)
/__suio	12	StructureDB	
FIELD	0	4	uio_iov	/__siov *
FIELD	4	4	uio_iovcnt	/int
FIELD	8	4	uio_resid	/int
/__suio *	4	PointerDB	pointer to __suio
/types.h/__time_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/types.h/__u_quad_t	8	TypedefDB	Unsigned Long Long Integer (compiler-specific size)
/types.h/__uid_t	4	TypedefDB	Unsigned Integer (compiler-specific size)
/__uint32_t	4	TypedefDB	Unsigned Integer (compiler-specific size)
/__uint32_t[2]	8	ArrayDB	Array of Unsigned Integer (compiler-specific size)
/_atexit	136	StructureDB	
FIELD	0	4	_next	/_atexit *
FIELD	4	4	_ind	/int
FIELD	8	128	_fns	/undefined1 *[32]
/_atexit *	4	PointerDB	pointer to _atexit
/_Bigint	24	StructureDB	
FIELD	0	4	_next	/_Bigint *
FIELD	4	4	_k	/int
FIELD	8	4	_maxwds	/int
FIELD	12	4	_sign	/int
FIELD	16	4	_wds	/int
FIELD	20	4	_x	/ULong[1]
/_Bigint *	4	PointerDB	pointer to _Bigint
/_Bigint * *	4	PointerDB	pointer to pointer to _Bigint
/_fpos_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/_glue	12	StructureDB	
FIELD	0	4	_next	/_glue *
FIELD	4	4	_niobs	/int
FIELD	8	4	_iobs	/__sFILE *
/_glue *	4	PointerDB	pointer to _glue
/_off_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/_reent	748	StructureDB	
FIELD	0	4	_errno	/int
FIELD	4	4	_stdin	/__sFILE *
FIELD	8	4	_stdout	/__sFILE *
FIELD	12	4	_stderr	/__sFILE *
FIELD	16	4	_inc	/int
FIELD	20	25	_emergency	/char[25]
FIELD	48	4	_current_category	/int
FIELD	52	4	_current_locale	/char *
FIELD	56	4	__sdidinit	/int
FIELD	60	4	__cleanup	/undefined1 *
FIELD	64	4	_result	/_Bigint *
FIELD	68	4	_result_k	/int
FIELD	72	4	_p5s	/_Bigint *
FIELD	76	4	_freelist	/_Bigint * *
FIELD	80	4	_cvtlen	/int
FIELD	84	4	_cvtbuf	/char *
FIELD	88	240	_new	/_reent___new
FIELD	328	4	_atexit	/_atexit *
FIELD	332	136	_atexit0	/_atexit
FIELD	468	4	_sig_func	/undefined1 * *
FIELD	472	12	__sglue	/_glue
FIELD	484	264	__sf	/__sFILE[3]
/_reent *	4	PointerDB	pointer to _reent
/_reent___new	240	UnionDB	
FIELD	0	76	_reent	/_reent___new___reent
FIELD	0	240	_unused	/_reent___new___unused
/_reent___new___reent	76	StructureDB	
FIELD	0	4	_rand_next	/unsigned int
FIELD	4	4	_strtok_last	/char *
FIELD	8	26	_asctime_buf	/char[26]
